author,resp_acc,id,name,up_votes,down_votes,pseudokarma
2636,26,2636,Ed Venator,41,1,1040
8296,11,8296,Athoesen,97,3,1034
96,21,96,Bill Smart,55,6,1029
1279,25,1279,Dave Coleman,41,0,1025
10621,8,10621,Kurt Leucht,127,1,1008
46,10,46,sglaser,102,2,1000
17876,17,17876,ROSkinect,59,1,986
11186,10,11186,Naman,99,2,970
1621,31,1621,Hansg91,31,0,961
5031,15,5031,Artem,66,2,960
15571,22,15571,Rabe,43,0,946
1938,8,1938,Dustin,120,2,944
18,49,18,arebgun,28,9,931
2254,19,2254,Dereck,50,1,931
3621,37,3621,PeterMilani,26,1,925
25557,5,25557,Dr Abdul Mannan,185,0,925
26292,16,26292,DavidN,57,1,896
1900,47,1900,cyborg-x1,20,1,893
28762,4,28762,Felix Widmaier,223,0,892
58,13,58,tom,68,1,871
26757,51,26757,rbbg,17,0,867
4680,23,4680,fivef,39,2,851
22870,26,22870,duck-development,33,1,832
1986,59,1986,jorge,14,0,826
4809,55,4809,v4hn,17,2,825
