id	title	summary
9259	How to synchronize tfMessage and Image messages?	"<p>Hi there, 
I tried to use message_filters in order to synchronize a tfMessage and an Image messages in code like this:</p>

<pre><code> message_filters::Subscriber&lt;Image&gt; image_sub;
 message_filters::Subscriber&lt;tf::tfMessage&gt; tf_sub;
 tf_sub.subscribe(nh_, ""/tf"", 1);
 image_sub.subscribe(nh_, ""image"", 1);
 TimeSynchronizer &lt;Image, tf::tfMessage&gt; sync(image_sub, tf_sub, 10);
</code></pre>

<p>Unfortunately it turns out that the compilation fails because the tfMessage has no Header block. Here is the error message:
""""""
/opt/ros/diamondback/stacks/ros_comm/utilities/message_filters/include/message_filters/sync_policies/exact_time.h:126: error: ‘value’ is not a member of ‘ros::message_traits::TimeStamp&lt;tf::tfmessage_&lt;std::allocator&lt;void&gt; &gt;, void&gt;’
""""""</p>

<p>Would anyone know of an alternative to what I am trying to achieve above? Does tf_listener maybe support an option of returning the whole TF tree (tfMessage)?</p>

<p>thx and best, D.</p>
"
9261	low rate of stereo prosilica cameras for face_detector	"<p>I'm using a pair of prosilica cameras on care-o-bot, receiving images (left, right, disparity) at rate of about 2 hz, few synchronized triples, which leads to use _approximate_sync:=True _queue_size:=10 in stereo_proc and stereo_view</p>

<p>now face_detector is not working for this pair, while it works fine with a recorded bag video (test), has anyone any idea? suggession, please? </p>
"
9273	Using version control git for ROS development	"<p>Hi,</p>

<p>I am in favor of git in using version control. I would like to know the best practise to do it since I have my own node (myNode) in /opt/ros/diamondback/stacks/myNode.</p>

<p>Should I wrapped the myNode folder/node with repo01.git(for example)? I mean the path now becomes /opt/ros/diamondback/stacks/repo01.git/myNode.</p>

<p>Is there any better way doing it?</p>

<p>Thanks in advance..</p>

<p>-alfa-</p>
"
9287	Are opencv samples in diamondback debs?	"<p>I recently upgraded to diamondback release (installed on Ubuntu 10.04 from apt-get). As I recall, the samples for opencv used to be in the opencv2 package directory -- however, it appears they no longer are? Am I looking in the wrong place or is this due to the cleanup that was done to reduce the size of the .debs? </p>
"
9343	Custom simulation using Stage	"<p>Hi, </p>

<p>I want to simulate a custom robot using ROS Diamondback. I figured that Stage is the package I should be using for simulation. I have read up the documentation on setting up a .world file for my simulation and have a world file with a robot and the intended simulation arena. However I am stuck as to how to proceed further. I have some code which does controlling/path planning for my robot, but how do I integrate the code with Stage ? </p>

<p>Could someone point me to some documentation / How-tos on this ? </p>

<p>Thanks, 
Sagnik</p>
"
9471	How to recieve an array over Publisher and Subscriber? (Python)	"<p>Examples would be useful.</p>
"
9511	How do I use a webcam in ROS?	"<p>Is there a generic driver for webcams to get images on a ROS topic?</p>
"
9512	where did turtle_tf_sensor.launch go?	"<p>In the tf tutorial page:
<a href=""http://www.ros.org/wiki/tf/Tutorials/Using%20Stamped%20datatypes%20with%20tf%3A%3AMessageFilter"">uisng time stamped datatypes with tf</a>
the first line says to run a launch file that does not exist in diamondback.</p>

<p>roslaunch turtle_tf turtle_tf_sensor.launch </p>

<p>I would be really nice to see this example.  Any ideas where it has gone?</p>
"
9545	KDL for arm	"<p>I'm trying to build a KDL representation of an arm. I am confused by what kind DH used. One kind is rotating z then rotating x axis. Another is rotating x then rotating z axis. My model is the latter. which one does the KDL library use?</p>
"
9553	How to write node for collecting data from P3AT robot	"<p>I have question. I wish to collect velocity (left and right speed)data from Pioneer 3AT, and for that write node, and that data i want to use for odometry.
I ask if someone can me direct on right path. There are some tutorials but i dont know which i need to look. If someone have idea, please to give me some suggestion. 
Thanks! </p>
"
9588	Has anyone worked with the Clearpath Robotics Husky A200?	"<p>I am wondering if anyone has worked with the Clearpath Robotics Husky A200 platform under ROS. <br/>
Specifically I would like to know: 
1. Does the ROS API give you enough flexibility?
2. What hardware do you use to interface with it? (i.e. laptop, netbook, microATX board)
3. What additional sensors have you used with it?
Thanks!</p>
"
9637	Changing opencv2 installation options & recompiling	"<p>Hi,</p>

<p>I'd like to rebuild the opencv2 package with ffmpeg turned on (default is off). I used roscd to switch to opencv2 and sudo-edited the Makefile to turn the ffmpeg flag on. But now I don't know how to recompile the package. I tried renaming ROS_NOBUILD, but then rosmake gives me error about not having permission to rm several files.</p>

<p>Any suggestions on how to recompile?</p>

<p>~Robin</p>
"
9640	Rotation error in Gazebo simulation	"<p>Hi everywhere. I wrote the following robot model in URDF and then I built a controller to teleoperate with it.</p>

<p>The result, as you can see in the video is not the expected, since they rotate on itself doing strange things (which seems more difficult when the spin is somehow aligned with the axis of coordinates of the world). Any ideas? I tried to change values ​​<strong>Mu1, Mu2, Kp, Kd</strong> and others like <strong>selfCollide</strong> with no success. I compared with models such as the Erratic and PR2 and finds no difference to me.</p>

<p><a href=""http://www.youtube.com/watch?v=1gkuQO81AiQ"">Here is the video that I recorded with the problem.</a></p>

<p>Thanks!</p>

<p>P.S: I want to add that the result is the same in teleoperation and in applying joint efforts directly to the wheels. With this I want to say that there <strong>is not a problem of the controller</strong>.</p>
"
9686	How to programatically set the 2D pose on a map ?	"<p>How do I programatically set the the initial 2D pose estimate on a map when running acml and move_base - equivalent to the ""2D pose estimate"" button within Rviz ?</p>
"
9693	Import movie file (MPEG/AVI/MOV) into rosbag	"<p>Is there any way to import an MPEG movie file into a rosbag format?</p>

<p>I have some video recorded off of an HD digital camera that I want to do various processing on (camera calibration and ar_pose), but I'm not sure how to get it into a format that I can use in ROS.</p>
"
9766	ros_package_path	"<p>Hi,</p>

<p>Can you tell me the default ROS_PACKAGE_PATH please?</p>

<p>Also, is the faulty ROS_PACKAGE_PATH the reason why I continue receiving the error ""No arguments could be parsed into valid package or stack names"" while I'm trying to install the joy package?</p>

<p>Thank you!</p>

<p>Soe</p>
"
9768	Large number of DNS queries	"<p>So there was a situation on our campus network with a computer talking to a networked ROS core that generated 9,172,713 DNS queries over a few hours.  The machine that issued the requests was NOT the roscore.  Is this normal or is something likely configured incorrectly?</p>

<p>I've only run on private wifi routers, so I've never had IT report extreme DNS usage. :)</p>
"
9807	Is the Kinect's IMU being used on the TurtleBot?	"<p>I seem to recall that the TurtleBot is using an IMU other than the accelerometer built into the Kinect.  Is this true?  And if so, what are the limitations of the Kinect's IMU that prevent it from being used instead?</p>

<p>Thanks!</p>
"
9815	Recommended system for complex ROS programs + simulations	"<p>I am looking to build a new computer to run ROS, rviz, and gazebo simulations. I've previously been working on an underpowered Ubuntu VM. What specs (RAM, CPU, GPU...) would you recommend for complex operations like simulating a PR2 or point cloud manipulations? I definitely cannot spend more than <strong>$4,000</strong> so I think dual six core xeon processors are out :-p</p>

<p>Thanks - Patrick</p>
"
9902	Monocular Vslam	"<div class=""snippet""><p>I am unable to get vslam_system 's run_mono to work on the 3VD &amp; Versailles Rond datasets. It says ""Returning a small amount of good points: 0, minGoodPts = 30"".</p>

<p>Also after running SBA the error is of the order 10^3.</p>

<p>""Running SFM<br/>Final error: 2074.372325""</p>

<p>What could be going wrong? Has anyone managed to run ""run_mono"" on any published dataset?</p>

<hr/>

<p>Sorry, I did not post additional detail last time. <br/>
I am running a Ubuntu 10.10 with ROS diamondback. I installed the latest stable version of vslam stack and tried to run the monocular pipeline. <br/>
The previous post was, however, from a fedora 14 system and used run_mono executable provided with the ros package vslam_stack. <br/> <br/>
This time, I have compiled a small snippet of code that adds frames to an instance of VslamSystemMono using the addFrame function specified in the api. I initially encountered the same error as mentioned link:<a href=""http://answers.ros.org/question/1280/trying-to-run-vslam_system-on-mono-video-data"">here</a> <br/>
I corrected this problem with the same fix provided yesterday by link. <br/>
The monocular pipeline is however unable to find good matches. The number of inliers is ~0-4 and this is less than the minimum number of inliers(30). Also the error after running SBA is very high (~1000's).<br/> <br/>
I used camera parameters - 1.2 1.2 0 0 1 <br/>
Posted here is the output corresponding to two calls to ""addFrame"" function of VslamSystemMono class.<br/> <br/></p>

<pre>[ INFO] [1314008351.193699104]: Added frame to Mono Vslam system
called PoseEstimator2d::estimate for frames 1 and 2
Number of points: 92, number of matches: 100
extractPnPData: frame1.pts.size() = 92
extractPnPData: good points 0
Running SFM
Final error: 33044.761933
Dumping SFM returned r
3.128635 
-0.279981 
-0.019429
Dumping SFM return T
267.161316 
3770.465820 
9.712806 
The number of epipolar inliers: 53
53 points before filtering
35 points left after filtering
sba got 35 points
Node projection matrix
1.2   0   0  -0
  0 1.2   0  -0
  0   0   1  -0
Node projection matrix
    1.18084   -0.213058  -0.0148276     320.594
  -0.213064    -1.18093 0.000851121     4524.56
  -0.012286  0.00149597   -0.999923     9.71281
Added 35 points, 35 tracks
sba.tracks.size = 35
costProj done
sba.tracks.size = 35
costProj done
Errors after sba initialization: 168.142901 896.277610
[SBAsys] Cameras: 2   Points: 35   Projections: 70  Hessian elements: 105
[SBAsys] Average 2 projections per track and 35 projections per camera
[SBAsys] Checking camera order in projections...ok
[SBAsys] Number of invalid projections: 0
[SBAsys] Number of null tracks: 0  Number of single tracks: 0   Number of double tracks: 35
[SBAsys] Number of disconnected cameras: 0
[SBAsys] Number of cameras with &lt;5 projs: 0
[SBAsys] Number of camera connections: 0  which is 0 connections per camera and 50 percent matrix fill
[SBAsys] Min connection points: 1000000  Max connection points: 0  Average connection points: -nan
[SBAsys] Total connection projections: 0
[SBAsys] Connections with less than 5 points: 0   10 pts: 0   20 pts: 0   50 pts: 0
sba pointer: 0xbfc1d35c

Removed 22 projections &gt; 2 pixels ...</pre></hr/><span class=""expander""> <a>(more)</a></span></div>"
9922	What is the actual size of point cloud from a kinect.	"<p>Hello, all.</p>

<p>As far as I know a kinect provides 640x480x3 size of 2D image data (widthxheightxRGB) and
640x480x(sizeof a point in 3D). </p>

<p>Is there anyone who knows the actual size of a point cloud?</p>

<p>640x480x4x3 ? widthxheightx(float)x(x,y,z) ?</p>

<p>Cheers.</p>
"
9942	Goals and Navigation in dynamic maps using GMapping	"<p>Hello Everyone,</p>

<p>Lately I've been experimenting on using the navigation stack without the mapserver, and using GMapping for the generation of a map via Online SLAM, with very good results (although sometimes a little CPU intensive).</p>

<p>I was wondering how could I refer to a point the robot has visited in the past, when the map is continually changing. Here is an example of my question:</p>

<p>Suppose I am giving my robot a tour of the office (he doesn't have a prior knowledge of its environment). While we tour, at certain positions I will ""mark"" some place, for example, ""this is Ben's desk"". After the tour, I would like to be able to tell the robot to go to Ben's desk.</p>

<p>I am not sure how I could manage to do that if the map is continually changing, in size, orientation, etc. Is there a way that doesn't rely exclusively on odometry?</p>

<p>Thanks in advance. All ideas are welcome :)</p>
"
9943	Is there functionality built into ros to get nodes to print a stacktrace on crash?	"<p>When ROS nodes crash, modifying launch files to run under gdb is often required to get a stack trace. And a full reattempt to produce the conditions of the crash is necessary.</p>

<p>75% of crash failures (made up number :) could probably be solved without running in the debugger if we could see where the crash happened on each failure.</p>

<p>Is there functionality built into ROS to handle this?</p>
"
9977	perception pcl	"<p>Hi,</p>

<p> Currently I am trying tutorial for PCL as described in  <a href=""http://www.pointclouds.org/documentation/tutorials/using_pcl.php#using-pcl"">http://www.pointclouds.org/documentat...</a></p>

<p>But, as in perception_pcl package in ros I could not find file named ""FindPCL.cmake"".</p>

<p>Perhaps, someone could give some enlightenment here.
I am still a bit confused how to use pcl in ros.</p>

<p>Thanks in advanced.</p>

<p>Kang</p>
"
10026	turtlesim_node wont start on MAC OSX 10.6	"<p>Im trying to start with ROS, so im following the tutorials, my problem comes when I want to launch turtlesim_node by using the command rosrun turtlesim turtlesim_node. It says:</p>

<p>[rosrun] Couldn't find executable named turtlesim_node below /Users/ME/ros/ros_tutorials/turtlesim</p>

<p>Then i try:
rosmake turtlesim and i got these errors:</p>

<p>""wxBitmap::wxBitmap(int, int, int)"", referenced from:
        turtlesim::TurtleFrame::TurtleFrame(wxWindow<em>)in turtle_frame.o
    ""_wxDefaultPosition"", referenced from:
turtlesim::TurtleFrame::TurtleFrame(wxWindow</em>)in turtle_frame.o
  ld: symbol(s) not found
  collect2: ld returned 1 exit status
  make[3]: <strong>* [../bin/turtlesim_node] Error 1
  make[2]: <em></em></strong><em> [CMakeFiles/turtlesim_node.dir/all] Error 2
  make[1]: *</em>* [all] Error 2</p>

<p>any idea what could be wrong?
thanks in advance</p>
"
10027	who is heading the development of ROS?	"<p>I would like to contact the person in charge for the development of ROS at Willow Garage.
I <strong>don't</strong> mean the CEO of the entire company, just the project leader that is coordinating the development of ROS.
Do you know who he/she is and how to contact him/her?</p>
"
10038	Getting point cloud data from the kinect	"<p>hi guys, i am new to kinect. I need point cloud data from the depth camera in kinect. Any of you have any idea how to go about doing it? i am using ROS diamondback and Ubuntu.</p>
"
10047	Sequentially get the IR and RGB data from openni_node	"<p>Hello, all, </p>

<p>Since I want to do the processing toward the IR and RGB data from Kinect in one node, I need to build two subscribers and then iteratively subscribing the IR and RGB data published by openni_node within the openni_camera_unstable package. 
(Due to the limitation of Kinect:Cannot stream RGB and IR at the same time.)
But I have no idea how to code that out. Is there anyone would like to give me any advice or samples? Thanks a lot!</p>
"
10110	displaying of pointcloud crashes rviz	"<p> I am using pcl and pcl_ros from
 <a href=""http://svn.pointclouds.org/ros/tags/unstable/perception_pcl/"">http://svn.pointclouds.org/ros/tags/u...</a> .
I am publishing the pointcloud version .PCD v.7 using
pcd_to_pointcloud tool and then trying to display it in diamondback
version of rviz. </p>

<p>The latter however crashes rviz with the following message:
""""""
rviz: /tmp/buildd/ros-diamondback-visualization-common-1.4.0/debian/ros-diamondback-visualization-common/opt/ros/diamondback/stacks/visualization_common/ogre/build/ogre_src_v1-7-1/OgreMain/include/OgreAxisAlignedBox.h:252:
void Ogre::AxisAlignedBox::setExtents(const Ogre::Vector3&amp;, const
Ogre::Vector3&amp;): Assertion `(min.x &lt;= max.x &amp;&amp; min.y &lt;= max.y &amp;&amp; min.z
&lt;= max.z) &amp;&amp; ""The minimum corner of the box must be less than or equal
to maximum corner""' failed.
(0) : fatal error C9999: <strong>* exception during compilation *</strong>
""""""</p>

<p>I suspect it to be caused by NaNs in my pointcloud but then again this
was not the problem for diamondback version of pcl_ros.
Can anyone confirm if my guess is right and what would would the
action to rectify the problem be?</p>

<p>D.</p>
"
10120	Error building rosjava.jar	"<p>I'm trying to install rosjava from the official instructions: <a href=""http://code.google.com/p/rosjava/wiki/Welcome"">http://code.google.com/p/rosjava/wiki/Welcome</a></p>

<p>but I'm stuck at the step where I have to build rosjava.jar. When I type <code>ant dist</code>, I get this:</p>

<pre><code>BUILD FAILED
/opt/ros/javagooglecode/rosjava/build.xml:5: The following error occurred while executing this line:
/opt/ros/javagooglecode/rosjava/build-common.xml:16: The following error occurred while executing this line:
/opt/ros/javagooglecode/rosjava/dependencies.xml:20: The following error occurred while executing this line:
/opt/ros/javagooglecode/rosjava/android/build.xml:6: The following error occurred while executing this line:
/opt/ros/javagooglecode/rosjava/android/library/build.xml:37: Cannot find ${sdk.dir}/tools/ant/pre_setup.xml imported from /opt/ros/javagooglecode/rosjava/android/library/build.xml
</code></pre>

<p>I followed the solution presented here: <a href=""http://stackoverflow.com/questions/6159909/ant-cannot-firn-pre-setup-xml-for-an-android-project"">http://stackoverflow.com/questions/6159909/ant-cannot-firn-pre-setup-xml-for-an-android-project</a>, but it did not change anything.</p>

<p>Note than when I type android, it is not a recognized command, so I have to type the full path the to Android installation folder on my desktop. I don't know if this could be a problem.</p>
"
10130	rosnode list for not active nodes	"<p>Hi,</p>

<p>I'm creating something like an IDE for ROS. Is it possible to get a list of all available nodes. Something like 'rosnode list' but for the not yet started nodes.
I think 'rosrun TAB TAB ' displays them, but this needs manual input of the TAB-key. Maybe there is a way to use the autocompletion-feature in a shellscript.</p>

<p>Thanks for the help!</p>
"
10143	Parsing 3D txt data set	"<p>Hello!I've obtained a 3D data set and its stored in a txt file, the question would be how it is possible to load it into RViz? Thank you.</p>

<p>Im trying to build up a PointCloud message, the 3D data set is loaded from a vector, im stucked how to insert the values of pC into cloud.channels.values. In this way there is no msg reeived in RViz.</p>

<pre><code>sensor_msgs::PointCloud cloud;
    cloud.header.stamp = ros::Time::now();
    cloud.header.frame_id = ""/base_link"";

    cloud.channels.resize(1);
    int32_t countX = 24120;
    int32_t countY = 24120;
    int32_t countZ = 24120;
    int32_t total = countX * countY * countZ; 
    cloud.points.resize(total);

    cloud.channels[0].values.resize(total);
    cloud.channels[0].name = ""rgb"";     

    while (it &lt; myvector.end())
    {
          geometry_msgs::Point32&amp; pC = cloud.points[i]; 
          pC.y = *(it) * 0.001;
          myfile2 &lt;&lt; *(it++) * 0.001 &lt;&lt;""\n"";
          pC.x = *(it) * 0.001;
          myfile2 &lt;&lt; *(it++) * 0.001 &lt;&lt;""\n"";
          pC.z = *(it) * 0.001;
          myfile2 &lt;&lt; *(it++) * 0.001 &lt;&lt;""\n"";

          cloud.channels[0].values[i++] = 1.0f;                       
     }
     myfile2.close();
     cloud_pub.publish(cloud);
</code></pre>
"
