q_id,A,B,Q+,C,U+,D,Q+ U+
182471,1.0,1.0,-,1.0,-,0.0,⬇⬇⬇⬇⬇
39996,0.6,0.4,⬇,1.0,⬆⬆,0.2,⬇⬇
219817,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
258444,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
172730,0.4,0.2,⬇,0.4,-,0.4,-
228531,1.0,0.2,⬇⬇⬇⬇,0.8,⬇,0.2,⬇⬇⬇⬇
11698,1.0,0.8,⬇,1.0,-,0.2,⬇⬇⬇⬇
34668,0.2,0.4,⬆,0.4,⬆,0.4,⬆
43061,0.6,0.2,⬇⬇,1.0,⬆⬆,0.4,⬇
65808,0.0,0.0,-,0.0,-,0.0,-
262574,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
252763,0.6,0.2,⬇⬇,0.4,⬇,0.2,⬇⬇
252515,0.8,0.2,⬇⬇⬇,0.8,-,0.4,⬇⬇
227205,0.8,0.2,⬇⬇⬇,0.4,⬇⬇,0.4,⬇⬇
37515,0.6,0.0,⬇⬇⬇,1.0,⬆⬆,0.2,⬇⬇
69658,0.6,0.4,⬇,0.6,-,0.2,⬇⬇
246233,0.2,0.2,-,0.2,-,0.2,-
11706,0.2,0.0,⬇,0.4,⬆,0.4,⬆
242376,0.8,0.6,⬇,0.6,⬇,0.2,⬇⬇⬇
204740,0.8,0.2,⬇⬇⬇,0.2,⬇⬇⬇,0.2,⬇⬇⬇
71437,0.6,0.2,⬇⬇,0.4,⬇,0.2,⬇⬇
201774,0.4,0.0,⬇⬇,1.0,⬆⬆⬆,0.6,⬆
37399,1.0,0.4,⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
11772,0.2,0.2,-,0.4,⬆,0.2,-
62152,0.4,0.2,⬇,0.8,⬆⬆,0.2,⬇
50564,0.2,0.4,⬆,0.4,⬆,0.2,-
46428,1.0,0.0,⬇⬇⬇⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
274572,0.2,0.2,-,0.4,⬆,0.4,⬆
54136,0.4,0.2,⬇,1.0,⬆⬆⬆,0.2,⬇
67572,0.2,0.2,-,0.2,-,0.2,-
262190,0.8,0.0,⬇⬇⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
191583,0.8,0.2,⬇⬇⬇,0.6,⬇,0.6,⬇
202171,1.0,0.4,⬇⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
61236,0.0,0.0,-,0.0,-,0.0,-
74608,0.2,0.2,-,0.2,-,0.2,-
285130,0.8,0.6,⬇,1.0,⬆,0.2,⬇⬇⬇
61538,0.6,0.4,⬇,1.0,⬆⬆,0.2,⬇⬇
11299,0.8,0.2,⬇⬇⬇,0.8,-,0.4,⬇⬇
9658,1.0,0.2,⬇⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
232068,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
244896,0.6,0.2,⬇⬇,0.4,⬇,0.2,⬇⬇
11492,0.8,0.8,-,1.0,⬆,0.2,⬇⬇⬇
202787,1.0,0.2,⬇⬇⬇⬇,0.6,⬇⬇,0.2,⬇⬇⬇⬇
90696,0.4,0.4,-,0.2,⬇,0.0,⬇⬇
219876,0.0,0.4,⬆⬆,1.0,⬆⬆⬆⬆⬆,0.4,⬆⬆
228095,1.0,0.8,⬇,1.0,-,0.2,⬇⬇⬇⬇
221046,1.0,0.4,⬇⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
39962,1.0,0.2,⬇⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
224362,0.2,0.4,⬆,1.0,⬆⬆⬆⬆,0.6,⬆⬆
43035,0.2,0.2,-,0.2,-,0.2,-
30230,0.0,0.2,⬆,0.2,⬆,0.4,⬆⬆
34818,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
148686,0.4,0.2,⬇,0.4,-,0.2,⬇
9653,0.4,0.2,⬇,0.2,⬇,0.2,⬇
187443,1.0,0.4,⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
252564,0.2,0.0,⬇,0.0,⬇,0.0,⬇
208869,0.6,0.4,⬇,0.6,-,0.2,⬇⬇
241373,0.2,0.2,-,0.4,⬆,0.2,-
11147,0.4,0.2,⬇,0.4,-,0.2,⬇
41306,0.8,0.0,⬇⬇⬇⬇,0.8,-,0.2,⬇⬇⬇
106766,0.8,0.0,⬇⬇⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
12683,0.8,0.2,⬇⬇⬇,0.8,-,0.2,⬇⬇⬇
194381,0.8,0.6,⬇,1.0,⬆,0.2,⬇⬇⬇
214410,0.4,0.0,⬇⬇,1.0,⬆⬆⬆,0.4,-
37484,0.4,0.2,⬇,0.8,⬆⬆,0.4,-
229563,0.2,0.2,-,0.4,⬆,0.2,-
34914,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
249001,0.0,0.4,⬆⬆,0.6,⬆⬆⬆,0.6,⬆⬆⬆
35218,0.4,0.2,⬇,0.2,⬇,0.2,⬇
224549,0.8,0.2,⬇⬇⬇,0.6,⬇,0.2,⬇⬇⬇
70585,0.4,0.6,⬆,0.6,⬆,0.2,⬇
9511,0.8,0.4,⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
227754,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
270521,0.2,0.6,⬆⬆,0.8,⬆⬆⬆,1.0,⬆⬆⬆⬆
246085,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
11030,0.6,0.4,⬇,0.6,-,0.2,⬇⬇
87466,0.2,0.2,-,0.2,-,0.2,-
211985,0.0,0.2,⬆,0.2,⬆,0.0,-
58633,0.8,0.6,⬇,1.0,⬆,0.2,⬇⬇⬇
68143,0.4,0.2,⬇,0.4,-,0.2,⬇
55647,0.4,0.4,-,0.4,-,0.2,⬇
251319,0.4,0.0,⬇⬇,0.2,⬇,0.4,-
9208,0.4,0.2,⬇,0.6,⬆,0.6,⬆
203735,0.6,0.4,⬇,1.0,⬆⬆,0.2,⬇⬇
67106,1.0,0.4,⬇⬇⬇,0.6,⬇⬇,0.2,⬇⬇⬇⬇
10790,0.2,0.2,-,1.0,⬆⬆⬆⬆,0.2,-
76243,0.8,0.4,⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
10356,0.8,0.2,⬇⬇⬇,0.4,⬇⬇,0.4,⬇⬇
32409,0.0,0.0,-,1.0,⬆⬆⬆⬆⬆,0.4,⬆⬆
64825,0.8,0.4,⬇⬇,0.8,-,0.2,⬇⬇⬇
203033,0.4,0.4,-,0.4,-,0.2,⬇
63413,0.2,0.2,-,0.2,-,0.2,-
10187,1.0,0.8,⬇,1.0,-,0.2,⬇⬇⬇⬇
10920,0.6,0.2,⬇⬇,0.6,-,0.4,⬇
206258,0.4,0.0,⬇⬇,0.4,-,0.2,⬇
114386,0.4,0.2,⬇,0.4,-,0.2,⬇
41132,0.6,0.4,⬇,0.6,-,0.2,⬇⬇
50976,0.8,0.0,⬇⬇⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
53752,0.0,0.0,-,0.0,-,0.0,-
11140,0.6,0.2,⬇⬇,0.4,⬇,0.2,⬇⬇
204263,0.6,0.0,⬇⬇⬇,0.6,-,0.0,⬇⬇⬇
9135,0.2,0.2,-,1.0,⬆⬆⬆⬆,0.8,⬆⬆⬆
33511,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
55126,0.4,0.2,⬇,1.0,⬆⬆⬆,0.6,⬆
56544,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
11557,0.0,0.4,⬆⬆,0.4,⬆⬆,0.4,⬆⬆
276472,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
65938,0.2,0.2,-,0.2,-,0.0,⬇
9977,0.6,0.0,⬇⬇⬇,0.6,-,0.4,⬇
10502,0.2,0.6,⬆⬆,0.8,⬆⬆⬆,0.8,⬆⬆⬆
55892,0.8,0.4,⬇⬇,0.8,-,0.2,⬇⬇⬇
12846,0.4,0.4,-,1.0,⬆⬆⬆,0.2,⬇
252416,0.2,0.4,⬆,0.4,⬆,0.4,⬆
113666,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
280213,0.6,0.6,-,0.6,-,0.2,⬇⬇
209276,0.8,0.4,⬇⬇,0.8,-,0.2,⬇⬇⬇
12615,0.0,0.2,⬆,0.0,-,0.0,-
221126,0.2,0.2,-,1.0,⬆⬆⬆⬆,0.6,⬆⬆
98016,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
10120,0.2,0.2,-,0.2,-,0.2,-
99551,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
244374,0.4,0.4,-,1.0,⬆⬆⬆,0.2,⬇
200115,0.6,0.4,⬇,1.0,⬆⬆,0.2,⬇⬇
158811,0.2,0.2,-,0.2,-,0.4,⬆
218146,0.6,0.2,⬇⬇,0.8,⬆,0.2,⬇⬇
9134,0.4,0.4,-,0.8,⬆⬆,0.2,⬇
157296,0.4,0.0,⬇⬇,0.4,-,0.2,⬇
210453,0.4,0.2,⬇,0.4,-,0.2,⬇
60576,0.0,0.0,-,0.0,-,0.0,-
10332,0.6,0.2,⬇⬇,1.0,⬆⬆,0.8,⬆
61357,1.0,0.2,⬇⬇⬇⬇,0.8,⬇,0.2,⬇⬇⬇⬇
10777,0.2,0.6,⬆⬆,0.4,⬆,0.4,⬆
266665,0.2,0.2,-,0.2,-,0.2,-
203558,0.2,0.2,-,0.6,⬆⬆,0.4,⬆
10843,1.0,0.8,⬇,1.0,-,0.2,⬇⬇⬇⬇
228743,0.4,0.2,⬇,0.4,-,0.2,⬇
10744,0.4,0.2,⬇,0.4,-,0.4,-
12427,0.2,0.2,-,0.8,⬆⬆⬆,0.4,⬆
273384,0.6,0.0,⬇⬇⬇,1.0,⬆⬆,0.0,⬇⬇⬇
53394,0.0,0.0,-,0.0,-,0.0,-
47954,0.2,0.2,-,0.2,-,0.2,-
224242,0.4,0.2,⬇,0.4,-,0.2,⬇
108526,0.8,0.4,⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
40909,1.0,0.4,⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
247452,1.0,0.0,⬇⬇⬇⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
40737,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
41764,0.8,0.4,⬇⬇,0.2,⬇⬇⬇,0.4,⬇⬇
191880,0.2,0.2,-,0.2,-,0.2,-
209973,0.6,0.2,⬇⬇,0.8,⬆,0.2,⬇⬇
174103,0.8,0.6,⬇,0.4,⬇⬇,0.2,⬇⬇⬇
252220,0.2,0.4,⬆,0.4,⬆,0.4,⬆
47177,0.4,0.2,⬇,0.4,-,0.2,⬇
10280,0.4,0.2,⬇,0.8,⬆⬆,0.0,⬇⬇
38271,0.6,0.6,-,1.0,⬆⬆,0.2,⬇⬇
41073,0.8,0.6,⬇,0.8,-,0.2,⬇⬇⬇
190536,0.6,0.4,⬇,0.8,⬆,0.2,⬇⬇
37299,0.2,0.2,-,0.6,⬆⬆,0.8,⬆⬆⬆
10652,0.4,0.4,-,0.4,-,0.2,⬇
173501,0.6,0.6,-,1.0,⬆⬆,0.2,⬇⬇
240487,0.6,0.2,⬇⬇,0.8,⬆,0.2,⬇⬇
42706,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
51181,0.2,0.2,-,0.2,-,0.2,-
62069,0.2,0.2,-,0.2,-,0.2,-
274332,0.2,0.2,-,1.0,⬆⬆⬆⬆,0.2,-
61811,0.6,0.6,-,0.6,-,0.0,⬇⬇⬇
62644,0.0,0.0,-,0.0,-,0.0,-
75433,0.4,0.2,⬇,1.0,⬆⬆⬆,0.2,⬇
216866,0.4,0.2,⬇,0.6,⬆,0.4,-
246787,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
57177,0.0,0.0,-,0.0,-,0.0,-
41581,0.2,0.4,⬆,1.0,⬆⬆⬆⬆,0.8,⬆⬆⬆
233787,1.0,0.0,⬇⬇⬇⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
110156,0.0,0.0,-,0.0,-,0.0,-
45814,0.6,0.0,⬇⬇⬇,0.8,⬆,0.4,⬇
230972,0.0,0.0,-,0.0,-,0.2,⬆
11935,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
12479,0.2,0.2,-,0.6,⬆⬆,0.8,⬆⬆⬆
102276,0.2,0.2,-,0.2,-,0.2,-
206261,0.0,0.0,-,0.2,⬆,0.4,⬆⬆
187313,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
202830,0.0,0.2,⬆,1.0,⬆⬆⬆⬆⬆,0.6,⬆⬆⬆
245030,1.0,0.2,⬇⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
151501,0.6,0.2,⬇⬇,0.2,⬇⬇,0.0,⬇⬇⬇
50218,0.4,0.2,⬇,0.4,-,0.2,⬇
10530,0.0,0.2,⬆,0.2,⬆,0.2,⬆
264866,0.2,0.2,-,0.2,-,0.2,-
66797,0.0,0.0,-,0.0,-,0.0,-
12806,0.2,0.2,-,0.4,⬆,0.4,⬆
206389,0.4,0.2,⬇,0.4,-,0.0,⬇⬇
233257,0.0,0.2,⬆,0.2,⬆,0.2,⬆
11095,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
212857,0.8,0.2,⬇⬇⬇,0.4,⬇⬇,0.2,⬇⬇⬇
52141,0.4,0.2,⬇,0.4,-,0.2,⬇
251730,0.2,0.4,⬆,1.0,⬆⬆⬆⬆,0.8,⬆⬆⬆
80446,1.0,0.2,⬇⬇⬇⬇,0.2,⬇⬇⬇⬇,0.2,⬇⬇⬇⬇
41665,0.2,0.0,⬇,1.0,⬆⬆⬆⬆,0.2,-
76279,0.0,0.0,-,0.0,-,0.0,-
271053,0.0,0.4,⬆⬆,1.0,⬆⬆⬆⬆⬆,0.4,⬆⬆
225106,0.4,0.4,-,0.4,-,0.2,⬇
230566,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
93306,0.8,0.4,⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
52107,0.6,0.2,⬇⬇,0.8,⬆,0.0,⬇⬇⬇
257944,0.8,0.0,⬇⬇⬇⬇,0.2,⬇⬇⬇,0.0,⬇⬇⬇⬇
11500,0.6,0.2,⬇⬇,0.6,-,0.6,-
223315,0.4,0.0,⬇⬇,0.8,⬆⬆,0.4,-
259405,0.2,0.0,⬇,0.2,-,0.0,⬇
57079,0.2,0.2,-,0.2,-,0.0,⬇
12632,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
33041,0.6,0.2,⬇⬇,0.4,⬇,0.4,⬇
48800,0.4,0.4,-,1.0,⬆⬆⬆,0.2,⬇
192600,0.8,0.6,⬇,0.6,⬇,0.2,⬇⬇⬇
10027,0.2,0.2,-,0.2,-,0.8,⬆⬆⬆
173432,1.0,0.8,⬇,1.0,-,0.2,⬇⬇⬇⬇
156861,0.8,0.2,⬇⬇⬇,0.8,-,0.2,⬇⬇⬇
199783,0.4,0.4,-,1.0,⬆⬆⬆,0.2,⬇
31159,0.4,0.6,⬆,0.6,⬆,0.2,⬇
271227,0.2,0.2,-,1.0,⬆⬆⬆⬆,0.8,⬆⬆⬆
194940,0.8,0.2,⬇⬇⬇,0.4,⬇⬇,0.2,⬇⬇⬇
48256,0.2,0.2,-,0.2,-,0.2,-
256435,0.6,0.2,⬇⬇,1.0,⬆⬆,0.2,⬇⬇
12478,0.2,0.4,⬆,0.6,⬆⬆,0.6,⬆⬆
43294,0.4,0.2,⬇,0.6,⬆,0.6,⬆
125461,0.2,0.6,⬆⬆,1.0,⬆⬆⬆⬆,0.8,⬆⬆⬆
58626,0.2,0.2,-,0.2,-,0.2,-
251168,0.8,0.4,⬇⬇,0.6,⬇,0.2,⬇⬇⬇
190465,0.0,0.2,⬆,0.2,⬆,0.2,⬆
194053,0.4,0.2,⬇,0.4,-,0.4,-
10284,0.2,0.2,-,0.2,-,0.2,-
264134,1.0,0.6,⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
11156,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
45950,0.4,0.2,⬇,1.0,⬆⬆⬆,0.2,⬇
216076,0.2,0.2,-,0.2,-,0.2,-
223996,0.2,0.2,-,0.2,-,0.2,-
65153,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
81601,0.4,0.0,⬇⬇,0.4,-,0.4,-
10238,0.4,0.0,⬇⬇,0.4,-,0.2,⬇
11417,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
11591,0.8,0.2,⬇⬇⬇,0.8,-,0.2,⬇⬇⬇
266321,0.2,0.4,⬆,0.2,-,0.2,-
45710,0.2,0.2,-,0.4,⬆,0.6,⬆⬆
9615,0.2,0.0,⬇,0.4,⬆,0.4,⬆
54688,0.2,0.4,⬆,0.6,⬆⬆,0.6,⬆⬆
44602,0.2,0.0,⬇,0.0,⬇,0.0,⬇
222178,0.6,0.2,⬇⬇,0.6,-,0.4,⬇
165396,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
9273,0.2,0.2,-,0.6,⬆⬆,0.4,⬆
136001,0.4,0.2,⬇,0.4,-,0.4,-
9277,0.2,0.0,⬇,0.4,⬆,0.4,⬆
44844,0.6,0.2,⬇⬇,1.0,⬆⬆,0.4,⬇
10494,0.8,0.2,⬇⬇⬇,0.6,⬇,0.4,⬇⬇
240235,0.8,0.6,⬇,0.6,⬇,0.0,⬇⬇⬇⬇
56135,0.0,0.0,-,0.0,-,0.0,-
57991,0.6,0.2,⬇⬇,0.8,⬆,0.2,⬇⬇
187393,0.2,0.2,-,0.4,⬆,0.6,⬆⬆
237411,0.0,0.2,⬆,0.2,⬆,0.2,⬆
235440,0.2,0.0,⬇,0.2,-,0.0,⬇
9766,0.8,0.2,⬇⬇⬇,0.6,⬇,0.4,⬇⬇
202211,0.6,0.2,⬇⬇,1.0,⬆⬆,0.4,⬇
94421,0.8,0.2,⬇⬇⬇,0.4,⬇⬇,0.4,⬇⬇
64946,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
42780,0.8,0.8,-,1.0,⬆,0.2,⬇⬇⬇
89381,0.2,0.2,-,0.2,-,0.0,⬇
9056,0.6,0.4,⬇,0.6,-,0.2,⬇⬇
58948,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
191203,1.0,0.6,⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
226503,0.2,0.2,-,0.2,-,0.2,-
42472,0.6,0.4,⬇,1.0,⬆⬆,0.2,⬇⬇
53960,0.0,0.0,-,0.0,-,0.0,-
256912,0.2,0.4,⬆,0.2,-,0.4,⬆
193235,0.4,0.2,⬇,1.0,⬆⬆⬆,0.4,-
54360,0.4,0.2,⬇,0.4,-,0.0,⬇⬇
293154,0.8,0.8,-,0.8,-,0.0,⬇⬇⬇⬇
28083,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
37869,0.4,0.2,⬇,0.2,⬇,0.4,-
190688,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
12319,1.0,0.2,⬇⬇⬇⬇,0.8,⬇,0.2,⬇⬇⬇⬇
74731,0.4,0.4,-,0.4,-,0.2,⬇
75457,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
10696,0.6,0.2,⬇⬇,1.0,⬆⬆,0.8,⬆
214452,0.0,0.0,-,0.2,⬆,0.2,⬆
63806,0.4,0.4,-,0.4,-,0.2,⬇
98596,0.2,0.2,-,0.4,⬆,0.2,-
116166,0.2,0.0,⬇,0.2,-,0.2,-
199244,0.4,0.2,⬇,0.4,-,0.2,⬇
10435,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
66009,0.8,0.6,⬇,0.4,⬇⬇,0.2,⬇⬇⬇
55082,0.0,0.0,-,0.0,-,0.0,-
211528,1.0,0.4,⬇⬇⬇,0.6,⬇⬇,0.2,⬇⬇⬇⬇
52773,0.8,0.0,⬇⬇⬇⬇,0.6,⬇,0.0,⬇⬇⬇⬇
227400,0.2,0.4,⬆,0.4,⬆,0.2,-
188584,0.8,0.2,⬇⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
145951,0.8,0.0,⬇⬇⬇⬇,0.2,⬇⬇⬇,0.0,⬇⬇⬇⬇
33306,0.2,0.4,⬆,0.4,⬆,0.6,⬆⬆
10846,0.2,0.2,-,0.2,-,0.2,-
233059,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
11460,1.0,0.0,⬇⬇⬇⬇⬇,1.0,-,0.4,⬇⬇⬇
193876,0.8,0.6,⬇,1.0,⬆,0.2,⬇⬇⬇
43091,0.6,0.4,⬇,0.4,⬇,0.2,⬇⬇
39026,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
104966,0.8,0.4,⬇⬇,0.6,⬇,0.2,⬇⬇⬇
12486,0.2,0.0,⬇,1.0,⬆⬆⬆⬆,0.6,⬆⬆
107006,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
46501,0.2,0.2,-,0.2,-,0.2,-
67339,0.0,0.2,⬆,0.0,-,0.0,-
211196,0.8,0.2,⬇⬇⬇,0.8,-,0.4,⬇⬇
237109,0.0,0.4,⬆⬆,1.0,⬆⬆⬆⬆⬆,0.6,⬆⬆⬆
123261,0.4,0.2,⬇,0.4,-,0.2,⬇
224920,0.2,0.4,⬆,1.0,⬆⬆⬆⬆,0.8,⬆⬆⬆
153971,1.0,0.8,⬇,0.6,⬇⬇,0.2,⬇⬇⬇⬇
207097,0.6,0.2,⬇⬇,0.4,⬇,0.0,⬇⬇⬇
209890,0.2,0.2,-,0.2,-,0.2,-
173203,1.0,0.4,⬇⬇⬇,0.4,⬇⬇⬇,0.2,⬇⬇⬇⬇
60602,0.6,0.0,⬇⬇⬇,0.0,⬇⬇⬇,0.0,⬇⬇⬇
11952,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
223792,0.6,0.2,⬇⬇,0.2,⬇⬇,0.2,⬇⬇
43195,0.4,0.2,⬇,1.0,⬆⬆⬆,0.6,⬆
12043,0.4,0.2,⬇,0.4,-,0.6,⬆
206828,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
52066,0.8,0.4,⬇⬇,0.4,⬇⬇,0.2,⬇⬇⬇
270885,0.8,0.6,⬇,1.0,⬆,0.2,⬇⬇⬇
10149,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
64401,0.4,0.2,⬇,1.0,⬆⬆⬆,0.4,-
209181,0.2,0.0,⬇,0.0,⬇,0.0,⬇
61377,0.4,0.2,⬇,0.4,-,0.0,⬇⬇
39600,0.0,0.0,-,0.0,-,0.0,-
201936,1.0,0.6,⬇⬇,0.8,⬇,0.2,⬇⬇⬇⬇
201215,0.8,0.2,⬇⬇⬇,1.0,⬆,0.4,⬇⬇
78541,0.2,0.2,-,0.2,-,0.2,-
36430,0.6,0.2,⬇⬇,0.6,-,0.2,⬇⬇
201125,1.0,0.2,⬇⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
202614,0.4,0.2,⬇,0.4,-,0.2,⬇
209325,0.2,0.6,⬆⬆,1.0,⬆⬆⬆⬆,0.8,⬆⬆⬆
66238,0.8,0.6,⬇,0.8,-,0.0,⬇⬇⬇⬇
9084,0.4,0.2,⬇,1.0,⬆⬆⬆,0.4,-
10130,0.4,0.2,⬇,0.8,⬆⬆,0.6,⬆
200282,1.0,0.2,⬇⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
11007,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
33981,0.6,0.4,⬇,0.4,⬇,0.2,⬇⬇
158186,0.2,0.0,⬇,0.0,⬇,0.4,⬆
